146.42,196.59,199.05,187.12
150.09,197.22,202.93,187.94
145.95,191.96,198.72,182.09
325.76,186.73,393.9,182.74
164.24,183.79,218.55,173.91
323.35,182.57,391.25,178.22
310.06,182.62,376.56,177.86
165.47,177.76,220.1,167.43
152.83,202.99,205.58,194.26
459.01,310.22,545.87,328.81
331.92,177.59,401.01,172.98
331.43,184.79,400.24,180.82
579.26,264.89,716.26,284.79
316.21,112.18,386.8,99.656
482.9,61.961,591.9,36.547
486.7,26.099,599.2,-7.0282
168.06,201.88,221.86,193.62
159,203.6,212.13,195.15
149.14,184.98,202.38,174.65
456.46,336.45,541.14,358.78
144.01,204.56,196.18,195.65
278.55,201.42,341.37,196.92
142.69,183.74,195.57,173.09
325.33,174.8,393.55,169.98
306.31,178.56,372.48,173.45
628.77,282.54,785.74,310.56
319.8,174.3,387.48,169.24
320.32,180.96,387.9,176.42
183.18,349.28,231.63,354.15
105.46,362.53,147.61,364.8
48.32,85.338,99.271,63.776
321.95,124.47,392.18,114.29
31.52,91.625,81.441,70.125
188.52,357.4,236.76,363.64
187.17,193.03,242.98,184.96
317.93,153.56,386.38,146.33
224.61,339.06,276.48,345.77
374,314,444.32,327.15
142.5,178.26,195.55,167.14
169.97,194.62,224.59,186.05
25.147,341,68.29,335.8
136.61,231.2,188.13,224.22
293.66,358.12,351.94,373.37
191.8,195.96,247.67,188.19
631.76,289.18,789.86,319.3
148.17,177.84,201.6,166.88
321.75,121.07,392.45,109.87
49.19,90.963,99.92,69.818
192.46,356.6,241.04,362.98
435.04,374.93,512.75,400.65
127.4,360.34,171.75,363.05
304.37,148.9,372.06,139.97
319.38,117.15,389.69,106.11
50.656,115.47,100.8,96.431
299.26,355.18,358.44,370.56
200.9,194.98,257.46,187.45
242.53,6.1995,310.16,-19.697
193.49,347.81,242.74,353.15
360.43,226.39,430.74,227.92
130.51,199.58,182.57,189.96
136.57,367.72,180.72,371.93
137.49,358.63,182.47,361.8
368.23,317.02,437.46,330.12
624.17,289.35,782.2,319.48
587.8,269.08,728.61,290.69
268.81,183.94,331.33,177.97
346.71,228.61,414.86,229.87
620.66,287.78,772.27,316.38
33.188,78.803,83.573,56.301
35.9,76.858,86.564,54.334
308.29,233.25,372.17,233.41
87.377,240.45,136.14,232.12
584,268,722.97,289.03
131.84,368.4,175.64,372.41
234.36,364.51,285.88,374.64
312.19,126.26,381.34,115.99
637.01,292.16,798.5,323.72
37.885,76.478,88.653,53.97
347.94,239.02,417.13,241.34
30.972,87.03,80.976,65.122
594.01,271.77,733.86,294.08
624.38,283.01,778.85,310.75
265.7,5.8949,335.62,-19.208
198.16,212.03,253.21,205.5
310.88,176.19,377.6,171
204.59,211.95,260.17,205.67
245.34,207.04,304.7,201.84
605.81,278.35,755.16,303.86
328.6,419.39,389.05,445.61
399.65,370.51,471.42,392.82
315.29,120.48,385.02,109.68
456.95,329.56,542.15,350.91
89.19,259.09,135.83,252.12
51.949,96.315,102.7,75.725
306.42,150.74,373.86,142.84
154.61,183.34,208.38,173.15
229.68,208.92,287.54,203.3
237.38,208.03,295.97,202.62
261.62,204.98,322.62,200.2
253.69,205.94,313.89,200.96
484.37,57.786,594.02,31.495
212.46,211.02,268.74,204.94
308.42,151.65,376.02,143.91
320.57,231.95,385.65,232.5
457.37,317.21,543.38,336.72
609.51,272.76,756.51,296.49
385.62,206.15,461.53,206.01
634.99,275.89,796.62,302.73
458.63,321.63,544.63,341.89
247.53,8.3337,315.55,-17.184
258.84,341.57,313.61,351.75
320.87,128.64,390.79,118.88
30.475,96.391,80.291,75.307
237.95,366.99,289.67,377.71
221.76,290.72,275.26,292.82
436.98,349.68,516.56,372.16
484.86,48.008,595.33,19.637
186.1,353.79,234.44,359.4
355.66,324.8,421.56,336.98
321.84,149.23,390.89,141.67
260.31,8.4716,329.6,-17.027
134,222,185.69,214.25
249.83,3.464,318.29,-22.391
320.35,139.27,390.03,130.07
318.41,263.77,381.94,267.16
445.96,245.69,533.73,253.42
448.01,222.35,537.37,226.44
485.47,38.501,596.74,8.1087
597.24,267.05,739.01,288.43
444.01,268.58,529.95,279.78
449.02,210.71,539.63,212.9
93.487,286.79,141.23,281.64
631.42,479.35,776.37,559.83
465.94,13.973,573.32,-20.706
384.38,221.19,459.32,222.9
267.84,187.64,330.13,181.85
464.99,24.64,571.4,-7.7712
451.99,175.49,545.16,171.9
450.94,187.71,543.43,186.09
440.02,315.62,522.26,333.56
453.96,152.71,549.35,145.04
462.03,59.513,565.39,34.251
458.05,105.63,557.43,89.359
444.96,256.61,531.82,266.01
456.05,130.21,553.38,118.49
194.96,209.24,250.01,202.42
86.966,245,135.16,236.94
633.15,470.86,779.73,549.65
270.43,203.91,332.33,199.35
323.78,171.4,392,166.18
